facility_id,DHIS2_UID,HMIS_code,eLMIS_ID,name,facility_type_id,district_id,location_type_id,slug
2536,OqdKs11Ga8R,50060011,,Arakan Camp Hospital,7,72,1,arakan-camp-hospital
2749,UN8x2aAb1uu,,,Kambazhi Rural Health Centre,3,79,3,kambazhi-rural-health-centre
2,sbFApO4who4,10010011,NULL,Kabangalala Rural Health Centre,3,74,3,kabangalala-rural-health-centre
3,x0m1bsepC8D,50050009,NULL,Kaunga Health Post,1,13,3,kaunga-health-post
5,gAaVZGBtFLt,50050011,NULL,Luangwa Boma Rural Health Centre,3,13,3,luangwa-boma-rural-health-centre
6,DqGTPYhHpey,50050012,NULL,Luangwa District Hospital,7,13,3,luangwa-district-hospital
7,GVnSLRHQ3zx,50050013,NULL,Luangwa High School Rural Health Centre,3,13,3,luangwa-high-school-rural-health-centre
8,z8LWIJoLkDg,50050014,NULL,Mandombe Rural Health Centre,3,13,3,mandombe-rural-health-centre
9,eOMbjIuxWSq,50050015,NULL,Mangelengele Health Post,1,13,3,mangelengele-health-post
10,y5oKCgi25Hg,50050016,NULL,Mphuka Rural Health Centre,3,13,3,mphuka-rural-health-centre
11,fG0z5pmkkh0,50050017,NULL,Sinyawagora Rural Health Centre,1,13,3,sinyawagora-rural-health-centre
12,nPgSY7DnQl0,50060007,NULL,Airport Urban Health Centre (Lusaka),4,72,1,airport-urban-health-centre-lusaka
13,bXZcDh72H10,10050024,NULL,Kasanda Urban Health Centre,4,16,1,kasanda-urban-health-centre
14,cENHiNyGXZA,50060015,NULL,Bauleni Urban Health Centre,4,72,1,bauleni-urban-health-centre
15,uYLa8Xuof0w,50060024,NULL,Cancer Diseases Hospital,9,72,1,cancer-diseases-hospital
16,P2sINO0afU2,5006XX35,NULL,Chainama Urban Health Centre,4,72,1,chainama-urban-health-centre
17,FyEYUDmn61s,5006XXHZ,NULL,Chainda South Clinic,3,72,1,chainda-south-clinic
18,e3vlJ4RcVHY,50060030,NULL,Chainda Urban Health Centre,4,72,1,chainda-urban-health-centre
19,wrdjeWiE0qA,50060032,NULL,Chaisa Urban Health Centre (Lusaka),4,72,1,chaisa-urban-health-centre-lusaka
20,Hl6F6xRjZO1,50060035,NULL,Chawama First Level Hospital,7,72,1,chawama-first-level-hospital
22,EbJJI4tcfFV,50060036,NULL,Chazanga Urban Health Centre,4,72,1,chazanga-urban-health-centre
23,HvCdWhbVEvI,50060042,NULL,Chilenje First Level Hospital,7,72,1,chilenje-first-level-hospital
24,P8GiF9aID5d,50060044,NULL,Chimwemwe Health Post,1,72,1,chimwemwe-health-post
25,sy04jreTFc0,50060046,NULL,Chipata First Level Hospital,7,72,1,chipata-first-level-hospital
26,JIffZZY0uxI,50060048,NULL,Chisomo Hospital,7,72,1,chisomo-hospital
27,Sd5NiOuntEV,50060051,NULL,Chunga Health Post,1,72,1,chunga-health-post
28,kSeObbrW1yf,50060059,NULL,Civic Centre Urban Health Centre,4,72,1,civic-centre-urban-health-centre
29,uUiYjRMs1RE,10050026,NULL,Katondo Urban Health Centre (Kabwe),1,16,1,katondo-urban-health-centre-kabwe
30,nDyoVUO5WxU,50060087,NULL,Evelyn Hone College Health Post,1,72,1,evelyn-hone-college-health-post
1328,e7ErGgTx8Uj,,NULL,Sipungu Health Post,1,96,3,sipungu-health-post
447,DMtUrglZTCS,60020009,NULL,Mukupa Katandula Rural Health Centre,3,62,3,mukupa-katandula-rural-health-centre
32,zz9wcWgqYwx,50060104,NULL,Garden Health Post,1,72,1,garden-health-post
34,tgUnXz63GUz,50060129,NULL,Kabwata Urban Health Centre,4,72,1,kabwata-urban-health-centre
35,CChXkRmJ5Eh,50060131,NULL,Kalingalinga Urban Health Centre,4,72,1,kalingalinga-urban-health-centre
36,Bk6rN99KVTX,50060133,NULL,Kamulanga Health Post,1,72,1,kamulanga-health-post
37,nsNVbK7uCN1,10050027,NULL,Kawama Urban Health Centre (Kabwe),4,16,3,kawama-urban-health-centre-kabwe
38,aXkfuVKKVbg,50060135,NULL,Kamwala Urban Health Centre,4,72,1,kamwala-urban-health-centre
39,ReQP7ysmeuk,50060136,NULL,Kanyama First Level Hospital,7,72,1,kanyama-first-level-hospital
40,LFehO0N0f2G,50060138,NULL,Kanyama West Urban Health Centre,4,72,1,kanyama-west-urban-health-centre
41,sRDZUeOuvpS,50060140,NULL,Kaunda Square Urban Health Centre,4,72,1,kaunda-square-urban-health-centre
42,MrkjHKullTU,50060146,NULL,Levy Mwanawasa Teaching Hospital,9,72,1,levy-mwanawasa-teaching-hospital
43,toia1cMpj1m,50060153,NULL,Lilayi Urban Health Centre,4,72,1,lilayi-urban-health-centre
44,sq6nQ4kz604,50060172,NULL,Maina Soko Military Hospital,8,72,1,maina-soko-military-hospital
