uid,code,description
dkHASAGNego,D86,D86 Sarcoidosis
mgKZrnP1AcZ,E06,E06 Thyroiditis
CkpBc9sNvsW,E85,E85 Amyloidosis
owGrPIc4ZGX,G40,G40 Epilepsy
gs1NWqKZIRO,H91,H91 Other hearing loss
J6sQ7kmOrEr,K14,K14 Diseases of tongue
AWbFJk8btvD,K30,K30 Dyspepsia
YwTZPdGXaGg,K51,K51 Ulcerative colitis
hJYwfvamGY8,K65,K65 Peritonitis
gGbWUGk0yXi,L29,L29 Pruritus
pukHK97Ny3i,L51,L51 Erythema multiforme
ZQZrJAYk3I4,M60,M60 Myositis
HM7i7lUiAab,M83,M83 Adult osteomalacia
cbvCoe3zDLk,N96,N96 Habitual aborter
smuokAaNEOx,P21,P21 Birth asphyxia
UXTrK3K0J74,Q36,Q36 Cleft lip
ljqfebU1RZ4,W14,W14 Fall from tree
C25ajoPHulH,Z740,Z740 Reduced mobility
PeRRXMKvbW3,Z730,Z730 Burnout
gAewyQCGjr0,Z722,Z722 Drug use
iNsBYffdcud,A038,A038 Other shigellosis
cHLiDZVMSLt,A799,A799 Rickettsiosis unspecified
JXvZad9enZZ,B04,B04 Monkeypox
KEiF4RPFq3T,B83,B83 Other helminthiases
V2kLghDk7yk,C050,C050 Hard palate
EBlO19IaTtQ,C796,C796 Secondary malignant neoplasm of ovary
o5vbiaIi4fI,C863,C863 Subcutaneous panniculitislike Tcell lymphoma
tYYNxJo45uK,C960,C960 LettererSiwe disease
BkwrV76uIOR,D141,D141 Larynx
TrjYovz8D5N,D482,D482 Peripheral nerves and autonomic nervous system
rcEtlrSYSN7,D59,D59 Acquired haemolytic anaemia
KMWTmMhhFig,D693,D693 Idiopathic thrombocytopenic purpura
zlAI37eRUOo,E031,E031 Congenital hypothyroidism without goitre
nKG82VHS66K,E673,E673 Hypervitaminosis D
nhnbvNTpVsu,E872,E872 Acidosis
d3Q25yqGFvp,F20,F20 Schizophrenia
mO5iEcqw1UA,F341,F341 Dysthymia
tzTz3i5s8Yy,F44,F44 Dissociative conversion disorders
yzGNbLqe5pV,F70,F70 Mild mental retardation
MESXNg2wx19,G24,G24 Dystonia
XVLeP0RPQwR,G72,G72 Other myopathies
SKJyhD2ZlVB,H501,H501 Divergent concomitant strabismus
MZg8Ek2N4I3,I45,I45 Other conduction disorders
cwV8bia9aiC,I509,I509 Heart failure unspecified
Bk5slgR63OY,I711,I711 Thoracic aortic aneurysm ruptured
x6anYR3JaeN,J218,J218 Acute bronchiolitis due to other specified organisms
RNphQsXNFCR,J43,J43 Emphysema
fsDyboO3bcl,J80,J80 Adult respiratory distress syndrome
wETORPrJSZU,K431,K431 Ventral hernia with gangrene
m9cFlGaYDOa,K58,K58 Irritable bowel syndrome
TtUcxYvsA2C,K764,K764 Peliosis hepatis
t5xg0Uyckqj,L552,L552 Sunburn of third degree
zHJKQlmDBt1,L751,L751 Chromhidrosis
khBCIgYvLru,M701,M701 Bursitis of hand
iqxiNyrcESo,M791,M791 Myalgia
AFxbIN6BYOZ,M913,M913 Pseudocoxalgia
QBf8FayjaRF,N04,N04 Nephrotic syndrome
