"facility_id","DHIS2_UID","HMIS_code","name","district","facility_type","location_type","slug"
2536,"OqdKs11Ga8R","50060011","Arakan Camp Hospital","Lusaka","Hospital - Level 1","Urban","arakan-camp-hospital"
2749,"UN8x2aAb1uu","","Kambazhi Rural Health Centre","Kalumbila","Rural Health Centre","Rural","kambazhi-rural-health-centre"
2,"sbFApO4who4","10010011","Kabangalala Rural Health Centre","Chibombo","Rural Health Centre","Rural","kabangalala-rural-health-centre"
3,"x0m1bsepC8D","50050009","Kaunga Health Post","Luangwa","Health Post","Rural","kaunga-health-post"
5,"gAaVZGBtFLt","50050011","Luangwa Boma Rural Health Centre","Luangwa","Rural Health Centre","Rural","luangwa-boma-rural-health-centre"
6,"DqGTPYhHpey","50050012","Luangwa District Hospital","Luangwa","Hospital - Level 1","Rural","luangwa-district-hospital"
7,"GVnSLRHQ3zx","50050013","Luangwa High School Rural Health Centre","Luangwa","Rural Health Centre","Rural","luangwa-high-school-rural-health-centre"
8,"z8LWIJoLkDg","50050014","Mandombe Rural Health Centre","Luangwa","Rural Health Centre","Rural","mandombe-rural-health-centre"
9,"eOMbjIuxWSq","50050015","Mangelengele Health Post","Luangwa","Health Post","Rural","mangelengele-health-post"
10,"y5oKCgi25Hg","50050016","Mphuka Rural Health Centre","Luangwa","Rural Health Centre","Rural","mphuka-rural-health-centre"
11,"fG0z5pmkkh0","50050017","Sinyawagora Rural Health Centre","Luangwa","Health Post","Rural","sinyawagora-rural-health-centre"
12,"nPgSY7DnQl0","50060007","Airport Urban Health Centre (Lusaka)","Lusaka","Urban Health Centre","Urban","airport-urban-health-centre-lusaka"
13,"bXZcDh72H10","10050024","Kasanda Urban Health Centre","Kabwe","Urban Health Centre","Urban","kasanda-urban-health-centre"
14,"cENHiNyGXZA","50060015","Bauleni Urban Health Centre","Lusaka","Urban Health Centre","Urban","bauleni-urban-health-centre"
15,"uYLa8Xuof0w","50060024","Cancer Diseases Hospital","Lusaka","Hospital - Level 3","Urban","cancer-diseases-hospital"
16,"P2sINO0afU2","5006XX35","Chainama Urban Health Centre","Lusaka","Urban Health Centre","Urban","chainama-urban-health-centre"
17,"FyEYUDmn61s","5006XXHZ","Chainda South Clinic","Lusaka","Rural Health Centre","Urban","chainda-south-clinic"
18,"e3vlJ4RcVHY","50060030","Chainda Urban Health Centre","Lusaka","Urban Health Centre","Urban","chainda-urban-health-centre"
19,"wrdjeWiE0qA","50060032","Chaisa Urban Health Centre (Lusaka)","Lusaka","Urban Health Centre","Urban","chaisa-urban-health-centre-lusaka"
20,"Hl6F6xRjZO1","50060035","Chawama First Level Hospital","Lusaka","Hospital - Level 1","Urban","chawama-first-level-hospital"
22,"EbJJI4tcfFV","50060036","Chazanga Urban Health Centre","Lusaka","Urban Health Centre","Urban","chazanga-urban-health-centre"
23,"HvCdWhbVEvI","50060042","Chilenje First Level Hospital","Lusaka","Hospital - Level 1","Urban","chilenje-first-level-hospital"
24,"P8GiF9aID5d","50060044","Chimwemwe Health Post","Lusaka","Health Post","Urban","chimwemwe-health-post"
25,"sy04jreTFc0","50060046","Chipata First Level Hospital","Lusaka","Hospital - Level 1","Urban","chipata-first-level-hospital"
26,"JIffZZY0uxI","50060048","Chisomo Hospital","Lusaka","Hospital - Level 1","Urban","chisomo-hospital"
27,"Sd5NiOuntEV","50060051","Chunga Health Post","Lusaka","Health Post","Urban","chunga-health-post"
28,"kSeObbrW1yf","50060059","Civic Centre Urban Health Centre","Lusaka","Urban Health Centre","Urban","civic-centre-urban-health-centre"
29,"uUiYjRMs1RE","10050026","Katondo Urban Health Centre (Kabwe)","Kabwe","Health Post","Urban","katondo-urban-health-centre-kabwe"
30,"nDyoVUO5WxU","50060087","Evelyn Hone College Health Post","Lusaka","Health Post","Urban","evelyn-hone-college-health-post"
1328,"e7ErGgTx8Uj","","Sipungu Health Post","Nalolo","Health Post","Rural","sipungu-health-post"
447,"DMtUrglZTCS","60020009","Mukupa Katandula Rural Health Centre","Kaputa","Rural Health Centre","Rural","mukupa-katandula-rural-health-centre"
32,"zz9wcWgqYwx","50060104","Garden Health Post","Lusaka","Health Post","Urban","garden-health-post"
34,"tgUnXz63GUz","50060129","Kabwata Urban Health Centre","Lusaka","Urban Health Centre","Urban","kabwata-urban-health-centre"
35,"CChXkRmJ5Eh","50060131","Kalingalinga Urban Health Centre","Lusaka","Urban Health Centre","Urban","kalingalinga-urban-health-centre"
36,"Bk6rN99KVTX","50060133","Kamulanga Health Post","Lusaka","Health Post","Urban","kamulanga-health-post"
37,"nsNVbK7uCN1","10050027","Kawama Urban Health Centre (Kabwe)","Kabwe","Urban Health Centre","Rural","kawama-urban-health-centre-kabwe"
38,"aXkfuVKKVbg","50060135","Kamwala Urban Health Centre","Lusaka","Urban Health Centre","Urban","kamwala-urban-health-centre"
39,"ReQP7ysmeuk","50060136","Kanyama First Level Hospital","Lusaka","Hospital - Level 1","Urban","kanyama-first-level-hospital"
40,"LFehO0N0f2G","50060138","Kanyama West Urban Health Centre","Lusaka","Urban Health Centre","Urban","kanyama-west-urban-health-centre"
41,"sRDZUeOuvpS","50060140","Kaunda Square Urban Health Centre","Lusaka","Urban Health Centre","Urban","kaunda-square-urban-health-centre"
42,"MrkjHKullTU","50060146","Levy Mwanawasa Teaching Hospital","Lusaka","Hospital - Level 3","Urban","levy-mwanawasa-teaching-hospital"
43,"toia1cMpj1m","50060153","Lilayi Urban Health Centre","Lusaka","Urban Health Centre","Urban","lilayi-urban-health-centre"
44,"sq6nQ4kz604","50060172","Maina Soko Military Hospital","Lusaka","Hospital - Level 2","Urban","maina-soko-military-hospital"
45,"Bvp6RBPo62N","50010008","Makeni Konga Urban Health Centre","Chilanga","Urban Health Centre","Urban","makeni-konga-urban-health-centre"
46,"GWePuV5XPW0","50060180","Mandevu Urban Health Centre","Lusaka","Urban Health Centre","Urban","mandevu-urban-health-centre"
47,"s9keZSbbiBo","50060184","Matero Main Urban Health Centre","Lusaka","Urban Health Centre","Urban","matero-main-urban-health-centre"
48,"CPVAHHBf5qI","50060183","Matero First Level Hospital","Lusaka","Hospital - Level 1","Urban","matero-first-level-hospital"
50,"LJz2tZNV5e4","50060198","Mtendere Urban Health Centre","Lusaka","Urban Health Centre","Urban","mtendere-urban-health-centre"
51,"ICLq9igVlIv","50060211","Ng'ombe Urban Health Centre","Lusaka","Urban Health Centre","Urban","ngombe-urban-health-centre"
52,"EeGMmfARh6g","5006XX40","Nipa Health Post","Lusaka","Health Post","Urban","nipa-health-post"
53,"pS6h6OdgML4","50060263","St. Agnes's Urban Health Centre","Lusaka","Urban Health Centre","Urban","st-agness-urban-health-centre"
54,"Fmr1kLVfXs8","50060268","State House Clinic","Lusaka","Urban Health Centre","Urban","state-house-clinic"
55,"FW1dl31uuzV","50060269","State Lodge Urban Health Centre","Lusaka","Urban Health Centre","Urban","state-lodge-urban-health-centre"
56,"ABEuCVwz8cD","50060279","Twatasha Health Post (Lusaka)","Lusaka","Health Post","Urban","twatasha-health-post-lusaka"
57,"DGs3ThOtddH","10050030","Mahatma Ghandhi Memorial Urban Health Centre","Kabwe","Urban Health Centre","Urban","mahatma-ghandhi-memorial-urban-health-centre"
58,"gsNGi4iJfrU","50060281","University of Zambia Clinic","Lusaka","Urban Health Centre","Urban","university-of-zambia-clinic"
59,"Qv5NUR9AraV","50070001","Bunda Bunda Health Post","Rufunsa","Health Post","Rural","bunda-bunda-health-post"
60,"c0oo1hmsMMb","50070002","Chifundo Rural Health Centre","Rufunsa","Rural Health Centre","Rural","chifundo-rural-health-centre"
1454,"","","Kameme Health Post","Kalulushi","Health Post","Rural","kameme-health-post"
2537,"oGx0XfgYIh9","50060055","Circle of Hope Health Centre","Lusaka","","Urban","circle-of-hope-health-centre"
2443,"","30030031","Network of Zambia People","Katete","Health Post","Rural","network-of-zambia-people"
62,"pTjlE4l8E8I","50070005","Chinyunyu Rural Health Centre","Rufunsa","Rural Health Centre","Rural","chinyunyu-rural-health-centre"
63,"n6VcLbpBJWf","50070007","Chitemalesa Health Post","Rufunsa","Health Post","Rural","chitemalesa-health-post"
64,"uYwn8Ev8sLo","10050031","Makululu Urban Health Centre","Kabwe","Urban Health Centre","Peri-Urban","makululu-urban-health-centre"
65,"BXhckmGX4He","50070008","Chiyota Rural Health Centre","Rufunsa","Rural Health Centre","Rural","chiyota-rural-health-centre"
66,"SW4wRANO9nV","50070009","Kankumba Rural Health Centre","Rufunsa","Rural Health Centre","Rural","kankumba-rural-health-centre"
67,"frf8onjZZxQ","50070010","Kanyongoloka Health Post","Rufunsa","Health Post","Rural","kanyongoloka-health-post"
68,"QLjBmZ3QJgs","50070011","Kapanda (Lunsemfwa) Health Post","Rufunsa","Health Post","Rural","kapanda-lunsemfwa-health-post"
69,"urCMmUagKOX","50070012","Kazemba Health Post","Rufunsa","Health Post","Rural","kazemba-health-post"
70,"iUbvAXNZ0fL","50070013","Luangwa Bridge Health Post","Rufunsa","Health Post","Rural","luangwa-bridge-health-post"
